S.No,Post,Caste,Count
677,all,गुरुङ्क,1
678,all,दशौदी,1
679,all,गाईन,2
680,all,(मादेन),1
681,all,सोप,1
682,all,बहडखेर,1
683,all,स्‍वर्णकार,2
684,all,दानी,2
685,all,(विश्‍वकर्मा),5
686,all,बि‍‌‌.क.,1
687,all,केवरत,6
688,all,वाइबा,4
689,all,(दुलाल),1
690,all,राकाया,1
691,all,मुस्लिम,1
692,all,वुढ्थापा,1
693,all,भंण्डारी,1
694,all,(तेली),5
695,all,रैला,2
696,all,कुटु,1
697,all,जिम्वा,3
698,all,गलामी,2
699,all,राया,1
700,all,बक्स,1
701,all,अलियास,1
702,all,तिखत्री,1
703,all,बैदवार,1
704,all,(साम्पाङ्ग),1
705,all,पाल,12
706,all,गुप्‍ता,22
707,all,धनाडी,3
708,all,सेन्चुरी,1
709,all,(दमाइ),1
710,all,खत्री(कार्की),1
711,all,पाण्डे(सुवेदी),1
712,all,खदाल,2
713,all,(रोकाया),1
714,all,थुलुङ्ग,2
715,all,कोइराला,31
716,all,नापित,2
717,all,सार्की],1
718,all,(लुहार),3
719,all,दुरुङ्च्याङ,1
720,all,एरी,1
721,all,सदाय,14
722,all,त्यात,1
723,all,नेम्‍वाङ्ग,1
724,all,(सिन्चउरी),1
725,all,लामा(गुरुङ),1
726,all,(लोहोरुङ्ग),1
727,all,विस्वकर्मा,2
728,all,मर्सानी,1
729,all,चौरसिया,9
730,all,सिं‌खडा,1
731,all,छन्‍त्‍याल,4
732,all,(श्रीस),1
733,all,न्यौपाने(फडेरा),1
734,all,बयाडी,1
735,all,तत्‍मा,4
736,all,के.शी.,2
737,all,सेनेहाङ,1
738,all,फागो/लिम्बु,1
739,all,सरभङ्ग,1
740,all,कनुईन,1
741,all,अधिकारि,2
742,all,कुम्हार,9
743,all,मुरीमगर,1
744,all,धोविन,4
745,all,कवंर,1
746,all,पद्धेवती,1
747,all,ऐडी,19
748,all,ग्याबा,1
749,all,मल्लाह,9
750,all,बैध,1
751,all,नट,1
752,all,कबडिया,1
753,all,लोपचन,1
754,all,दोङ,5
755,all,गुणी,1
756,all,माकजु,1
757,all,बि.सी,1
758,all,हाङ्गाम,1
759,all,सिंगु,1
760,all,पुलामी,20
761,all,दमै,45
762,all,कुईकेल,3
763,all,वराम,2
764,all,डांगी,5
765,all,लावती,18
766,all,ब्लोन,4
767,all,पौडेल(क्षेत्री),1
768,all,चाम्लीङ्ग,3
