S.No,LocalBodyName,WardNo,Post,District,State,Winner,GovernmentAllianceVote,UMLVote
297,भोजपुर नगरपालिका,6,वडा अध्यक्ष,भोजपुर,1,शैलेन्द्र कार्की,161,353
298,तिलोत्तमा नगरपालिका,2,वडा अध्यक्ष,रुपन्देही,5,दधिराम गौतम,1102,1332
299,तुल्सिपुर उपमहानगरपालिका,1,वडा अध्यक्ष,दाङ,5,लक्ष्मण भण्डारी,901,1073
300,मुड्केचुला गाउँपालिका,9,वडा अध्यक्ष,डोल्पा,6,जय  प‌साद बुढा,55,120
301,काठमाण्डौ महानगरपालिका,21,वडा अध्यक्ष,काठमाडौं,3,उदय चुडामणी बज्राचार्य,1071,2657
302,सर्केगाड गाउँपालिका,1,वडा अध्यक्ष,हुम्ला,6,गोकुल बुढा,210,427
303,पूर्वखोला गाउँपालिका,4,वडा अध्यक्ष,पाल्पा,5,रिम प्रसाद श्रेष्ठ,196,853
304,जिराभवानी गाउँपालिका,2,वडा अध्यक्ष,पर्सा,2,महादेव महतो थारु,538,767
305,फिक्कल गाउँपालिका,5,वडा अध्यक्ष,सिन्धुली,3,राजु बराल,493,574
306,बनेपा नगरपालिका,10,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,चन्द्र बहादुर खड्का,812,856
307,छेडागाड नगरपालिका,9,वडा अध्यक्ष,जाजरकोट,6,गोपाल बहादुर नेपाली,284,400
308,ईटहरी उपमहानगरपालिका,4,वडा अध्यक्ष,सुनसरी,1,चन्द्र प्रसाद भट्टराई,1997,2203
309,कमलामाई नगरपालिका,12,वडा अध्यक्ष,सिन्धुली,3,ललित बहादुर आले,627,714
310,कुश्मा नगरपालिका,6,वडा अध्यक्ष,पर्वत,4,रुद्र गिरी,238,278
311,चौविसे गाउँपालिका,3,वडा अध्यक्ष,धनकुटा,1,हेम चन्द्र तुम्सा,361,411
312,भेरीगंगा नगरपालिका,9,वडा अध्यक्ष,सुर्खेत,6,लक्षुमन राना,608,835
313,तिलोत्तमा नगरपालिका,5,वडा अध्यक्ष,रुपन्देही,5,चेत नारायण भण्‍डारी,1016,1072
314,नेपालगंज उपमहानगरपालिका,6,वडा अध्यक्ष,बाँके,5,समीर प्रताप सिंह,445,446
315,साफेबगर नगरपालिका,4,वडा अध्यक्ष,अछाम,7,बालगिरी कुँवर,513,637
316,पनौती नगरपालिका,2,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,पुरुषोत्तम अधिकारी,782,987
317,बागलुङ नगरपालिका,10,वडा अध्यक्ष,बागलुङ,4,प्रेम बहादुर थापा,618,1167
318,बुटवल उपमहानगरपालिका,8,वडा अध्यक्ष,रुपन्देही,5,भिम बहादुर श्रेष्ठ,1125,1526
319,पञ्चपुरी नगरपालिका,3,वडा अध्यक्ष,सुर्खेत,6,रत्न बहादुर धुराल,556,671
320,छथर जोरपाटी गाउँपालिका,3,वडा अध्यक्ष,धनकुटा,1,ज्ञान बहादुर लिम्बू,149,647
321,चौरजहारी नगरपालिका,13,वडा अध्यक्ष,रुकुम पश्चिम,5,टंक प्रसाद ओली,466,480
322,कानेपोखरी गाउँपालिका,5,वडा अध्यक्ष,मोरङ्ग,1,चरण गुरुङ,1255,1282
323,रामारोशन गाउँपालिका,3,वडा अध्यक्ष,अछाम,7,तारा बहादुर साउद,447,525
324,बर्दघाट नगरपालिका,14,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पश्चिम),5,केशव बहादुर खत्री क्षेत्री,1136,1536
325,चन्द्रागिरी नगरपालिका,1,वडा अध्यक्ष,काठमाडौं,3,राजेन्‍द्र के.सी.,885,1143
326,मण्डनदेउपुर नगरपालिका,11,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,माधव प्रसाद न्यौपाने,658,933
327,सुन्दरबजार नगरपालिका,7,वडा अध्यक्ष,लमजुंग,4,जय राम रेग्मी,380,708
328,छेडागाड नगरपालिका,1,वडा अध्यक्ष,जाजरकोट,6,गणेश प्रसाद जैसी,377,695
329,केदारस्युँ गाउँपालिका,2,वडा अध्यक्ष,बझाङ्ग,7,चक्र बहादुर लुहार--बि.क.,198,292
330,पाँचपोखरी थाङपाल  गाउँपालिका,1,वडा अध्यक्ष,सिन्धुपाल्चोक,3,सूर्य मान दोङ,624,719
331,पुतलीबजार नगरपालिका,4,वडा अध्यक्ष,स्याङ्जा,4,ओम बहादुर खड्का क्षेत्री,801,834
332,गैडाकोट नगरपालिका,8,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पूर्व),4,डिलाराम रिजाल,691,703
333,रामपुर नगरपालिका,9,वडा अध्यक्ष,पाल्पा,5,इच्छा राम थापा सिजाली,571,667
334,सभापोखरी गाउँपालिका,3,वडा अध्यक्ष,संखुवासभा,1,दिल बहादुर तामाङ्ग,381,398
335,ईटहरी उपमहानगरपालिका,14,वडा अध्यक्ष,सुनसरी,1,रमेश प्रसाद चौधरी,453,1018
336,आँधीखोला गाउँपालिका,1,वडा अध्यक्ष,स्याङ्जा,4,लोक प्रसाद ढकाल,762,909
337,कुश्मा नगरपालिका,14,वडा अध्यक्ष,पर्वत,4,भीम प्रसाद गुरुङ्ग,507,693
338,आठराई  गाउँपालिका,1,वडा अध्यक्ष,तेर्हथुम,1,कमल बहादुर लिम्बु,578,668
339,खोटेहाङ गाउँपालिका,3,वडा अध्यक्ष,खोटाङ्ग,1,राज कुमार राई,346,419
340,ठूली भेरी नगरपालिका,8,वडा अध्यक्ष,डोल्पा,6,हरि प्रसाद डाँगी,123,126
341,बुटवल उपमहानगरपालिका,6,वडा अध्यक्ष,रुपन्देही,5,जगदीश चन्‍द्र आचार्य,1001,1300
342,स्वामीकार्तिक गाउँपालिका,5,वडा अध्यक्ष,बाजुरा,7,बिस्नु बहादुर शाही,188,323
343,जलजला गाउँपालिका,6,वडा अध्यक्ष,पर्वत,4,हम बहादुर फकामी पुन,521,559
344,मर्स्याङदी गाउँपालिका,1,वडा अध्यक्ष,लमजुंग,4,रुद्र मान गुरुङ,0,310
345,जिरी  नगरपालिका,8,वडा अध्यक्ष,दोलखा,3,तेज बहादुर खड्का,416,474
346,भोटखोला गाउँपालिका,1,वडा अध्यक्ष,संखुवासभा,1,तेन्छेवी शेर्पा,80,100
347,कुसे गाउँपालिका,1,वडा अध्यक्ष,जाजरकोट,6,गोपाल बहादुर नेपाली,194,261
348,रुपाकोट मजुवागढी नगरपालिका,15,वडा अध्यक्ष,खोटाङ्ग,1,विरेन्द्र प्रसाद ढकाल,501,514
349,दुधौली नगरपालिका,2,वडा अध्यक्ष,सिन्धुली,3,रितेश राउत,819,864
350,चामे गाउँपालिका,5,वडा अध्यक्ष,मनाङ्ग,4,कैले गुरुङ,8,16
351,बुटवल उपमहानगरपालिका,2,वडा अध्यक्ष,रुपन्देही,5,रमेश प्रसाद नेपाल,470,1520
352,सूर्यविनायक नगरपालिका,4,वडा अध्यक्ष,भक्तपुर,3,उत्तम थापा,1164,1443
353,वालिङ नगरपालिका,4,वडा अध्यक्ष,स्याङ्जा,4,रन ध्वज गुरुङ्ग,597,631
354,अन्नपूर्ण गाउँपालिका,3,वडा अध्यक्ष,म्याग्दी,4,नरसिंहबहादुर पुर्जा,446,507
355,खोटेहाङ गाउँपालिका,7,वडा अध्यक्ष,खोटाङ्ग,1,शिव प्रसाद फयल,248,431
356,मेरिङदेन गाउँपालिका,6,वडा अध्यक्ष,ताप्लेजुंग,1,ठाकुर सिं लिम्बु,277,392
357,बेलडाडी गाउँपालिका,4,वडा अध्यक्ष,कन्चनपुर,7,विर बहादुर खड्का,323,402
358,राप्ती नगरपालिका,11,वडा अध्यक्ष,चितवन,3,हित बहादुर तमाङ,454,553
359,चन्द्रकोट गाउँपालिका,4,वडा अध्यक्ष,गुल्मी,5,भरत लाल थापा,746,784
360,बुटवल उपमहानगरपालिका,16,वडा अध्यक्ष,रुपन्देही,5,राम प्रसाद रेग्मी,658,933
361,दक्षिणकाली नगरपालिका,1,वडा अध्यक्ष,काठमाडौं,3,जय थापामगर,637,990
362,दुल्लु नगरपालिका,12,वडा अध्यक्ष,दैलेख,6,झुपाराम लम्साल,402,513
363,वेदकोट नगरपालिका,1,वडा अध्यक्ष,कन्चनपुर,7,हरि गिरी,574,677
364,छायाँनाथ रारा नगरपालिका,1,वडा अध्यक्ष,मुगु,6,लोक बहादुर हितान,279,303
365,गौमुल गाउँपालिका,3,वडा अध्यक्ष,बाजुरा,7,मान बहादुर बोहरा,335,380
366,धुनीबेंशी नगरपालिका,4,वडा अध्यक्ष,धादिङ्ग,3,हरि प्रसाद सुवेदी,524,960
367,आँधीखोला गाउँपालिका,3,वडा अध्यक्ष,स्याङ्जा,4,बिशणु बहादुर खत्री,522,647
368,मेची नगर नगरपालिका,11,वडा अध्यक्ष,झापा,1,सन्तोष कुमार मेचे,807,971
369,उमाकुण्ड गाउँपालिका,5,वडा अध्यक्ष,रामेछाप,3,कुविर बहादुर खत्री,289,436
370,बेलडाडी गाउँपालिका,5,वडा अध्यक्ष,कन्चनपुर,7,कृष्ण बहादुर रोकाया,652,727
371,पनौती नगरपालिका,3,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,किशोर थापा,631,1425
372,मोदी गाउँपालिका,7,वडा अध्यक्ष,पर्वत,4,बसन्त कुमार गुरुड्ग,437,638
373,कन्काई नगरपालिका,8,वडा अध्यक्ष,झापा,1,प्रेम बहादुर कटुवाल,750,775
374,भागेश्वर गाउँपालिका,2,वडा अध्यक्ष,डडेलधुरा,7,राजेन्द्र बोहरा,332,333
375,कमलामाई नगरपालिका,8,वडा अध्यक्ष,सिन्धुली,3,टीका बहादुर मुक्तान,745,835
376,गुल्मीदरवार गाउँपालिका,2,वडा अध्यक्ष,गुल्मी,5,हरीहर गौतम,975,1116
377,अन्नपुर्ण गाउँपालिका,11,वडा अध्यक्ष,कास्की,4,हिम बहादुर गुरुङ्ग,410,530
378,इलाम नगरपालिका,9,वडा अध्यक्ष,इलाम,1,श्याम कृष्ण घिमिरे,1196,1260
379,पाणिनी गाउँपालिका,7,वडा अध्यक्ष,अर्घाखांची,5,गुनाखर अधिकारी,843,985
380,सोरु गाउँपालिका,4,वडा अध्यक्ष,मुगु,6,डबले शाही,121,165
381,फतुवा बिजयपुर नगरपालिका,3,वडा अध्यक्ष,रौतहट,2,दिपनरायण साह सोनार,496,573
382,गोलन्जोर गाउँपालिका,7,वडा अध्यक्ष,सिन्धुली,3,रोम बहादुर देवकोटा,502,595
383,धुलिखेल नगरपालिका,2,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,राजन कोइराला,508,836
384,कोल्हवी नगरपालिका,4,वडा अध्यक्ष,बारा,2,मेष बहादुर ढकाल क्षेत्रि,599,668
385,काठेखोला गाउँपालिका,3,वडा अध्यक्ष,बागलुङ,4,याम बहादुर श्रीस,219,990
386,बराहपोखरी गाउँपालिका,5,वडा अध्यक्ष,खोटाङ्ग,1,फौद राज राई,347,401
387,ईस्मा गाउँपालिका,6,वडा अध्यक्ष,गुल्मी,5,हिरा बहादुर जि.सी,628,940
388,सरुमारानी गाउँपालिका,6,वडा अध्यक्ष,प्यूठान,5,तुल बहादुर रोका मगर,477,494
389,घोराही उपमहानगरपालिका,1,वडा अध्यक्ष,दाङ,5,राममणि पाण्‍डे,580,1009
390,गङ्गाजमुना गाउँपालिका,7,वडा अध्यक्ष,धादिङ्ग,3,बाबु राम न्यौपाने,742,911
391,बागलुङ नगरपालिका,6,वडा अध्यक्ष,बागलुङ,4,खिम राज सापकोटा,648,663
392,मंगलसेन नगरपालिका,4,वडा अध्यक्ष,अछाम,7,पदम बहादुर धामी,342,500
393,बोगटान गाउँपालिका,6,वडा अध्यक्ष,डोटी,7,विरेन्द्र वहादुर चन्द,375,434
394,देवचुली नगरपालिका,9,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पूर्व),4,मेख बहादुर थापा सारु मगर,573,628
395,नारायण नगरपालिका,3,वडा अध्यक्ष,दैलेख,6,चन्द्र प्रसाद उपाध्याय,369,384
396,भैरवी गाउँपालिका,7,वडा अध्यक्ष,दैलेख,6,छवीराम आचार्य,329,678
397,गल्याङ नगरपालिका,6,वडा अध्यक्ष,स्याङ्जा,4,टिकाराम भुसाल,523,709
398,गैडाकोट नगरपालिका,10,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पूर्व),4,देवी दत्त कंडेल,666,1001
399,काठेखोला गाउँपालिका,7,वडा अध्यक्ष,बागलुङ,4,प्रेम बहादुर जि.सी,415,1806
400,पाख्रिवास नगरपालिका,10,वडा अध्यक्ष,धनकुटा,1,हरि बहादुर खत्री,272,513
401,बढैयाताल गाउँपालिका,8,वडा अध्यक्ष,बर्दिया,5,सुन्दर मान श्रेष्‍ठ,1142,1321
402,तिलोत्तमा नगरपालिका,15,वडा अध्यक्ष,रुपन्देही,5,खेमराज गुरुङ्ग,89,1340
403,बेसीशहर नगरपालिका,8,वडा अध्यक्ष,लमजुंग,4,"पवित्रा थापा, राना",597,673
404,बाणगंगा नगरपालिका,2,वडा अध्यक्ष,कपिलवस्तु,5,विष्णु प्रसाद पौडेल,1457,2017
405,बुढीनन्दा नगरपालिका,4,वडा अध्यक्ष,बाजुरा,7,राजन  कुमार  रोकाया ,334,367
406,जिरी  नगरपालिका,6,वडा अध्यक्ष,दोलखा,3,गोपाल बहादुर कार्की,391,431
407,मध्यनेपाल नगरपालिका,3,वडा अध्यक्ष,लमजुंग,4,नेत्र बहादुर वस्नेत,413,470
408,सुरुङ्गा नगरपालिका,1,वडा अध्यक्ष,सप्तरी,2,मुक्ती कुमार कार्की,645,744
409,खाँडादेवी गाउँपालिका,3,वडा अध्यक्ष,रामेछाप,3,पुस्कर कुमार कार्की,866,1064
410,भगवतीमाई गाउँपालिका,6,वडा अध्यक्ष,दैलेख,6,बिर शंकर रोकाय,162,395
411,दुधकोशी गाउँपालिका,4,वडा अध्यक्ष,सोलुखुम्बु,1,डवल सिंह राई,272,327
412,विदुर नगरपालिका,6,वडा अध्यक्ष,नुवाकोट,3,राजु सडौला,638,716
413,सूर्यविनायक नगरपालिका,9,वडा अध्यक्ष,भक्तपुर,3,उपेन्द्र राज के सी,958,1258
414,हेटौडा उपमहानगरपालिका,10,वडा अध्यक्ष,मकवानपुर,3,किताप सिं लामा,694,856
415,रोङ गाउँपालिका,1,वडा अध्यक्ष,इलाम,1,बुद्धी बहादुर ढकाल,511,564
416,बुढीगंगा नगरपालिका,5,वडा अध्यक्ष,बाजुरा,7,केश बहादुर थापा,279,363
417,तलकोट गाउँपालिका,6,वडा अध्यक्ष,बझाङ्ग,7,प्यारु जेठारा,228,375
418,आठराई  गाउँपालिका,7,वडा अध्यक्ष,तेर्हथुम,1,रोहीत कन्दङवा,372,552
419,बराहपोखरी गाउँपालिका,1,वडा अध्यक्ष,खोटाङ्ग,1,ट‌कं कुमार मगर,598,626
420,घोराही उपमहानगरपालिका,2,वडा अध्यक्ष,दाङ,5,केशव राज आचार्य,1343,1565
421,मकवानपुरगढी गाउँपालिका,3,वडा अध्यक्ष,मकवानपुर,3,भागवत घिमिरे,625,700
422,खैरहनी नगरपालिका,10,वडा अध्यक्ष,चितवन,3,कारी राम चौधरी,1420,1652
423,पूर्वीचौकी गाउँपालिका,6,वडा अध्यक्ष,डोटी,7,देब बहादुर थापा,414,576
424,सोरु गाउँपालिका,5,वडा अध्यक्ष,मुगु,6,गणेश बहादुर बुढा,119,142
425,सुरुङ्गा नगरपालिका,4,वडा अध्यक्ष,सप्तरी,2,देवेन्‍द्र प्रसाद चौधरी,695,710
426,चापाकोट नगरपालिका,7,वडा अध्यक्ष,स्याङ्जा,4,रवि चन्द्र बस्ताकोटी,597,635
427,भुम्लु गाउँपालिका,2,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,कृष्ण कुमार कार्की,377,385
428,छेडेदह गाउँपालिका,7,वडा अध्यक्ष,बाजुरा,7,खगेन्द्र बहादुर रावत,531,641
429,बुटवल उपमहानगरपालिका,15,वडा अध्यक्ष,रुपन्देही,5,डम्बर बहादुर भण्डारी,965,966
430,बेलवारी नगरपालिका,11,वडा अध्यक्ष,मोरङ्ग,1,यम बहादुर पोख्रेल,1150,1550
431,जन्तेढुंगा गाउँपालिका,6,वडा अध्यक्ष,खोटाङ्ग,1,शुक देव राई,229,358
432,गुठिचौर गाउँपालिका,3,वडा अध्यक्ष,जुम्ला,6,प्रेम बहादुर बुढा,283,289
433,मुखियापट्टी मुसहरमिया गाउँपालिका,5,वडा अध्यक्ष,धनुषा,2,नरेश यादव,440,501
434,खैरहनी नगरपालिका,7,वडा अध्यक्ष,चितवन,3,मनेजर महतो,639,777
435,तिलोत्तमा नगरपालिका,6,वडा अध्यक्ष,रुपन्देही,5,सुखदेव न्‍यौपाने,113,2088
436,अमरगढी नगरपालिका,4,वडा अध्यक्ष,डडेलधुरा,7,दिपेन्द्र थापा,252,277
437,सैनामैना नगरपालिका,5,वडा अध्यक्ष,रुपन्देही,5,परसुराम सापकोटा,1280,1336
438,शैल्यशिखर नगरपालिका,8,वडा अध्यक्ष,दार्चुला,7,अजव सिह विष्ट,470,529
439,बर्दघाट नगरपालिका,5,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पश्चिम),5,रेशमी राज भट्टराई,723,825
440,मेलौली नगरपालिका,3,वडा अध्यक्ष,बैतडी,7,रघुविर सिंह भाट,208,213
441,कमलामाई नगरपालिका,7,वडा अध्यक्ष,सिन्धुली,3,कर्ण बहादुर घिसिङ्ग,712,1209
442,साफेबगर नगरपालिका,14,वडा अध्यक्ष,अछाम,7,कर्ण बहादुर साउद,387,496
443,बर्दघाट नगरपालिका,13,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पश्चिम),5,नर बहादुर चौधरी,952,1243
444,नारायण नगरपालिका,10,वडा अध्यक्ष,दैलेख,6,लोक बहादुर थापा,381,451
445,रुरु गाउँपालिका,1,वडा अध्यक्ष,गुल्मी,5,रामलाल वि.क.,449,1077
446,तातोपानी गाउँपालिका,8,वडा अध्यक्ष,जुम्ला,6,कृष्ण बहादुर शाही,79,308
447,दुहवी नगरपालिका,7,वडा अध्यक्ष,सुनसरी,1,विजय कुमार चौधरी,321,477
448,सितगंगा नगरपालिका,13,वडा अध्यक्ष,अर्घाखांची,5,दुर्गा बहादुर वि.सी.,430,619
449,वडिगाड गाउँपालिका,2,वडा अध्यक्ष,बागलुङ,4,विष्णु प्रसाद भुसाल,406,614
450,बुढीगंगा नगरपालिका,9,वडा अध्यक्ष,बाजुरा,7,भरत बहादुर थापा,287,500
451,सूर्यविनायक नगरपालिका,5,वडा अध्यक्ष,भक्तपुर,3,राज कुमार जोशी,1002,1480
452,भानु नगरपालिका,8,वडा अध्यक्ष,तनहुँ,4,भरतराज ढकाल,768,933
453,फालेलुङ गाउँपालिका,1,वडा अध्यक्ष,पाँचथर,1,श्री प्रसाद जवेगु,440,500
454,आदर्श गाउँपालिका,7,वडा अध्यक्ष,डोटी,7,लाल विष्ट,242,355
455,गजुरी गाउँपालिका,2,वडा अध्यक्ष,धादिङ्ग,3,चुडा मणि कडेल,509,837
456,तेमाल गाउँपालिका,1,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,मान बहादुर श्रेष्‍ठ,365,524
457,केपिलासगढी गाउँपालिका,6,वडा अध्यक्ष,खोटाङ्ग,1,अशोक कुमार राई,158,173
458,बेसीशहर नगरपालिका,7,वडा अध्यक्ष,लमजुंग,4,गोविन्द बस्नेत,495,957
459,इलाम नगरपालिका,2,वडा अध्यक्ष,इलाम,1,नारद प्रसाद लम्साल,566,787
460,खानीखोला गाउँपालिका,5,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,दुर्गा प्रसाद तिमल्सिना,305,382
461,मादी गाउँपालिका,1,वडा अध्यक्ष,कास्की,4,सुरज कुमार गुरुङ्ग,522,626
462,देवचुली नगरपालिका,12,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पूर्व),4,दिना नाथ भुसाल,595,628
463,राप्ती नगरपालिका,4,वडा अध्यक्ष,चितवन,3,शमशेर लामा,937,1165
464,ढोरपाटन नगरपालिका,9,वडा अध्यक्ष,बागलुङ,4,हरि बहादुर घर्ती मगर,232,267
465,महाशिला गाउँपालिका,3,वडा अध्यक्ष,पर्वत,4,कर्ण प्रताप गुरुङ्ग,212,359
466,ब्यास गाउँपालिका,1,वडा अध्यक्ष,दार्चुला,7,अशोक सिंह बोहरा,130,165
467,फुङलिङ नगरपालिका,1,वडा अध्यक्ष,ताप्लेजुंग,1,पदम बहादुर सुनुवार,195,261
468,गल्छी गाउँपालिका,1,वडा अध्यक्ष,धादिङ्ग,3,पुर्ण प्रसाद खतिवडा,829,881
469,बेनी  नगरपालिका,7,वडा अध्यक्ष,म्याग्दी,4,राजेन्द्र कुमार श्रेष्ठ,279,323
470,कचनकवल गाउँपालिका,2,वडा अध्यक्ष,झापा,1,मेख बहादुर भट्टराई,619,679
471,भोटखोला गाउँपालिका,4,वडा अध्यक्ष,संखुवासभा,1,किन्साङ भोटे,327,418
472,कमलबजार नगरपालिका,4,वडा अध्यक्ष,अछाम,7,ललित ढोली,357,477
473,सिम्ता गाउँपालिका,5,वडा अध्यक्ष,सुर्खेत,6,मोहन कुमार वि.सी.,377,416
474,नौगाड गाउँपालिका,2,वडा अध्यक्ष,दार्चुला,7,नारायण ठगुन्ना,459,501
475,देवघाट गाउँपालिका,5,वडा अध्यक्ष,तनहुँ,4,याल वहादुर गुरुङ्ग,1235,1250
476,निस्दी गाउँपालिका,3,वडा अध्यक्ष,पाल्पा,5,लक्ष्मी प्रसाद पाटा मगर,350,824
477,सैनामैना नगरपालिका,9,वडा अध्यक्ष,रुपन्देही,5,डोल नाथ भण्डारी,746,753
478,मेलुङ  गाउँपालिका,3,वडा अध्यक्ष,दोलखा,3,हिरा कुमार तमाङ,373,626
479,मेलुङ  गाउँपालिका,7,वडा अध्यक्ष,दोलखा,3,नवराज खड्का,375,595
480,थाक्रे गाउँपालिका,9,वडा अध्यक्ष,धादिङ्ग,3,दिल बहादुर भुजेल,538,858
481,बेसीशहर नगरपालिका,6,वडा अध्यक्ष,लमजुंग,4,भोज बहादुर रिमाल,406,848
482,कुश्मा नगरपालिका,3,वडा अध्यक्ष,पर्वत,4,तेज प्रसाद पाध्या,810,916
483,विरुवा गाउँपालिका,2,वडा अध्यक्ष,स्याङ्जा,4,बुद्ध वहादुर आले,323,400
484,विर्तामोड नगरपालिका,1,वडा अध्यक्ष,झापा,1,अग्नी प्रसाद पाण्डे,914,1272
485,विजयनगर गाउँपालिका,7,वडा अध्यक्ष,कपिलवस्तु,5,दिनेश कुमार चौधरी,366,491
486,शिवनाथ गाउँपालिका,2,वडा अध्यक्ष,बैतडी,7,हजारी सिंह साउंद,626,722
487,घिरिङ गाउँपालिका,2,वडा अध्यक्ष,तनहुँ,4,पुर्ण बहादुर थापा,367,904
488,कुश्मा नगरपालिका,11,वडा अध्यक्ष,पर्वत,4,शिव प्रसाद पौडेल,584,737
489,फाकफोकथुम गाउँपालिका,4,वडा अध्यक्ष,इलाम,1,हरी प्रसाद दंगाली,823,875
490,पुतलीबजार नगरपालिका,14,वडा अध्यक्ष,स्याङ्जा,4,शेष राज ढकाल,957,1280
491,छबिसपाथिभेरा गाउँपालिका,3,वडा अध्यक्ष,बझाङ्ग,7,केशव राज जैशी,408,424
492,बुंगल नगरपालिका,7,वडा अध्यक्ष,बझाङ्ग,7,टंक प्रसाद जोशी,311,597
493,दुधकोशी गाउँपालिका,2,वडा अध्यक्ष,सोलुखुम्बु,1,तेज बहादुर थापामगर,226,326
494,जन्तेढुंगा गाउँपालिका,4,वडा अध्यक्ष,खोटाङ्ग,1,विदुर मान राई,368,433
495,हेटौडा उपमहानगरपालिका,8,वडा अध्यक्ष,मकवानपुर,3,गोपाल बहादुर श्रेष्‍ठ,1358,1597
496,भैरवी गाउँपालिका,4,वडा अध्यक्ष,दैलेख,6,बिरेन्द्र बहादुर शाही,388,531
497,थलारा गाउँपालिका,4,वडा अध्यक्ष,बझाङ्ग,7,विष्णु वहादुर विष्ट,238,445
498,पोखरा लेखनाथ महानगरपालिका,25,वडा अध्यक्ष,कास्की,4,शोभाकर तिम्सीना,2138,2165
499,छायाँनाथ रारा नगरपालिका,2,वडा अध्यक्ष,मुगु,6,परेग राज चौलागाई,140,151
500,शिवालय गाउँपालिका,3,वडा अध्यक्ष,जाजरकोट,6,प्रेम देव शर्मा,246,331
501,रामारोशन गाउँपालिका,2,वडा अध्यक्ष,अछाम,7,चक्र बहादुर रावल,227,237
502,तामाकोशी  गाउँपालिका,6,वडा अध्यक्ष,दोलखा,3,झनक बहादुर फूयाल(खत्री),648,710
503,म्याङलुङ नगरपालिका,8,वडा अध्यक्ष,तेर्हथुम,1,सुनिल लिम्बू,186,342
504,कोहलपुर नगरपालिका,8,वडा अध्यक्ष,बाँके,5,रेशम बहादुर खत्री,768,781
505,हिलिहाङ गाउँपालिका,3,वडा अध्यक्ष,पाँचथर,1,मदन गौतम,242,489
506,माईजोगमाई गाउँपालिका,6,वडा अध्यक्ष,इलाम,1,भवानी प्रसाद लिङ्दम/लिम्बु,450,893
507,चौविसे गाउँपालिका,5,वडा अध्यक्ष,धनकुटा,1,पदम कुमार देवान,382,658
508,मुखियापट्टी मुसहरमिया गाउँपालिका,6,वडा अध्यक्ष,धनुषा,2,धमर्मेनद्र कुमार यादव,743,849
509,वैतेश्वर  गाउँपालिका,4,वडा अध्यक्ष,दोलखा,3,कुमार चौलागाईं,139,1667
510,जीतपुरसिमरा उपमहानगरपालिका,13,वडा अध्यक्ष,बारा,2,राजेन्‍द्र प्रसाद सिंह थारु,362,434
511,नेपालगंज उपमहानगरपालिका,18,वडा अध्यक्ष,बाँके,5,दीपक कुमार वर्मा,843,1365
512,हरीनास गाउँपालिका,3,वडा अध्यक्ष,स्याङ्जा,4,लेख बहादुर क्षेत्री,500,541
513,बागलुङ नगरपालिका,2,वडा अध्यक्ष,बागलुङ,4,जिबन आचार्य,527,582
514,कागेश्वरी मनोहरा नगरपालिका,9,वडा अध्यक्ष,काठमाडौं,3,कुन्दन खड्का,1485,1721
515,मेल्लेख गाउँपालिका,6,वडा अध्यक्ष,अछाम,7,नरपती रावल,514,818
516,नौमुले गाउँपालिका,8,वडा अध्यक्ष,दैलेख,6,मोहन कुमार राना मगर,509,511
517,ईस्मा गाउँपालिका,2,वडा अध्यक्ष,गुल्मी,5,टिका बहादुर रेश्‍मी,686,871
518,पटेर्वा सुगौली गाउँपालिका,5,वडा अध्यक्ष,पर्सा,2,मोती लाल साह,562,913
519,बाह्गाउँ मुक्तिक्षेत्र गाउँपालिका,1,वडा अध्यक्ष,मुस्तांग,4,विर बहादुर गुरुङ,154,155
520,चौरपाटी गाउँपालिका,6,वडा अध्यक्ष,अछाम,7,मने साउद,369,463
521,सूर्यविनायक नगरपालिका,1,वडा अध्यक्ष,भक्तपुर,3,सानु काजी कायष्‍ठ,1017,1647
522,नेस्याङ गाउँपालिका,8,वडा अध्यक्ष,मनाङ्ग,4,टसि फुन्जो गुरुङ,80,129
523,इलाम नगरपालिका,10,वडा अध्यक्ष,इलाम,1,रोम बहादुर मगर,1076,1187
524,जोरायल गाउँपालिका,6,वडा अध्यक्ष,डोटी,7,लाल बहादुर साउँद,477,484
525,रत्ननगर नगरपालिका,8,वडा अध्यक्ष,चितवन,3,विनोद वस्‍नेत,650,949
526,तिलोत्तमा नगरपालिका,3,वडा अध्यक्ष,रुपन्देही,5,टंक प्रसाद तीवारी,1230,1295
527,भक्तपुर नगरपालिका,7,वडा अध्यक्ष,भक्तपुर,3,उकेश कवां,288,438
