S.No,LocalBodyName,WardNo,Post,District,State,Winner,GovernmentAllianceVote,UMLVote
116,कालिन्चोक  गाउँपालिका,6,वडा अध्यक्ष,दोलखा,3,मान सिँ थामी,525,593
117,छेडागाड नगरपालिका,2,वडा अध्यक्ष,जाजरकोट,6,वालकृष्‍ण बुढा,459,551
118,आठबीस नगरपालिका,1,वडा अध्यक्ष,दैलेख,6,पर्व सिंह विश्वकर्मा,677,720
119,खाल्सा छिन्ताङ सहीदभूमि गाउँपालिका,4,वडा अध्यक्ष,धनकुटा,1,भुपेन्द्र राई,348,615
120,सिद्दिचरण नगरपालिका,5,वडा अध्यक्ष,ओखलढुंगा,1,कुल प्रसाद दाहाल,482,487
121,लहान नगरपालिका,10,वडा अध्यक्ष,सिराहा,2,मन्टी कुमार मण्डल,448,494
122,माई नगरपालिका,9,वडा अध्यक्ष,इलाम,1,लिला कुमार राई,399,694
123,खानीखोला गाउँपालिका,3,वडा अध्यक्ष,काभ्रेपलाञ्चोक,3,जय बहादुर लुङगेली मगर,265,282
124,घोराही उपमहानगरपालिका,11,वडा अध्यक्ष,दाङ,5,कुल बहादुर लामीछाने,1118,1307
125,कन्काई नगरपालिका,5,वडा अध्यक्ष,झापा,1,कृष्ण बहादुर राई,969,1268
126,वृन्दावन नगरपालिका,4,वडा अध्यक्ष,रौतहट,2,श्यामनन्दन राय,802,840
127,कन्काई नगरपालिका,7,वडा अध्यक्ष,झापा,1,लिला बहादुर कन्दङवा,709,840
128,पोखरा लेखनाथ महानगरपालिका,19,वडा अध्यक्ष,कास्की,4,शोभा मोहन पौडेल,2207,2483
129,शिखर नगरपालिका,6,वडा अध्यक्ष,डोटी,7,तेज बहादुर साउद,494,587
130,आरूघाट गाउँपालिका,10,वडा अध्यक्ष,गोरखा,4,मेन बहादुर अधिकारी,180,567
131,महाशिला गाउँपालिका,5,वडा अध्यक्ष,पर्वत,4,जीवन विक्रम उचै,669,710
132,स्वर्गद्वारी नगरपालिका,3,वडा अध्यक्ष,प्यूठान,5,बासु देव रेग्मी,515,885
133,थाक्रे गाउँपालिका,4,वडा अध्यक्ष,धादिङ्ग,3,गणेश मान वाईबा तामाङ,450,708
134,पाँचपोखरी थाङपाल  गाउँपालिका,8,वडा अध्यक्ष,सिन्धुपाल्चोक,3,विष्णु बहादुर खड्का,411,529
135,मिथिला नगरपालिका,10,वडा अध्यक्ष,धनुषा,2,सविन विक्रम थापा,463,899
136,फेदीखोला गाउँपालिका,4,वडा अध्यक्ष,स्याङ्जा,4,माधव प्रसाद शर्मा सुवेदी,693,747
137,पाख्रिवास नगरपालिका,8,वडा अध्यक्ष,धनकुटा,1,सिता राम राई,295,537
138,रामधुनी नगरपालिका,7,वडा अध्यक्ष,सुनसरी,1,केशव गौतम,1047,1546
139,मुड्केचुला गाउँपालिका,6,वडा अध्यक्ष,डोल्पा,6,हस्त बहादुर शाही,109,152
140,उमाकुण्ड गाउँपालिका,7,वडा अध्यक्ष,रामेछाप,3,रुद्र मणि नेवार,390,478
141,ईन्द्र सरोवर गाउँपालिका,4,वडा अध्यक्ष,मकवानपुर,3,धनवीर स्याङ्तान,168,750
142,तिलोत्तमा नगरपालिका,1,वडा अध्यक्ष,रुपन्देही,5,तामा नाथ पाण्डेय,1270,1716
143,कंचन गाउँपालिका,1,वडा अध्यक्ष,रुपन्देही,5,हरि नारायण थारु,1199,1210
144,बेनी  नगरपालिका,1,वडा अध्यक्ष,म्याग्दी,4,टेक बहादुर रावल,409,630
145,काठेखोला गाउँपालिका,2,वडा अध्यक्ष,बागलुङ,4,विद्या पति शर्मा,790,962
146,काठमाण्डौ महानगरपालिका,2,वडा अध्यक्ष,काठमाडौं,3,राजेन्द्र कुमार श्रेष्‍ठ,1153,1840
147,खाँडाचक्र नगरपालिका,6,वडा अध्यक्ष,कालिकोट,6,जगदिश शाही,300,351
148,मुगुम कार्मारोंग गाउँपालिका,8,वडा अध्यक्ष,मुगु,6,धोर्पा छिरिङ तामाङ,121,155
149,सान्नी त्रिवेणी गाउँपालिका,7,वडा अध्यक्ष,कालिकोट,6,मणी लाल सिम्खाडा,146,148
150,सुन्दरबजार नगरपालिका,2,वडा अध्यक्ष,लमजुंग,4,लोक राज पाण्डे,453,905
151,ललितपुर महानगरपालिका,5,वडा अध्यक्ष,ललितपुर,3,बिकाश मान श्रेष्ठ,532,643
152,बाह्रदशी गाउँपालिका,6,वडा अध्यक्ष,झापा,1,रत्‍नप्रकाश योङहाङ्ग,913,993
153,धनौजी गाउँपालिका,3,वडा अध्यक्ष,धनुषा,2,राम दुलार मण्डल,506,715
154,अन्नपुर्ण गाउँपालिका,7,वडा अध्यक्ष,कास्की,4,घनश्‍याम चापागाई,328,403
155,गौरिशंकर  गाउँपालिका,7,वडा अध्यक्ष,दोलखा,3,आङ दोर्जे शेर्पा,299,487
